Prompt,Completion,Review
ṣì mó mọ̀ pé àá fẹ́ràn àṣà wa?,"míì mọ ni yèé jẹ́ bẹ́ẹ̀, àmọ́ mìí mọ̀ pé àá fẹ́ràn àṣà wa",
ṣẹ̀kọ́ san hún ọni kée yáà dàgbà dáadáa á?,ẹ̀kọ́ san hún ọni kée yáà dàgbà dáadáa,
wòó fẹ́ kọ́n-ọn ka kọ́ èdè Yorùbá ní ṣùkúù?,"eyò, mìí fẹ́ kọ́n-ọn ka kọ èdè yorùbá ní ṣùkúu",
kọ́họn ulé-uṣẹ́ ẹ̀kọ́ yáà ṣe kọhún gbé ẹ̀kọ́ nárugẹ ẹ́?,ọ̀họn ulí-uṣẹ́ ẹ̀kọ́ yáà mú àwọ́dù hún ọ̀họn akẹ́kọ̀ọ́ yòó ṣáná kọhún gbé ẹ̀kọ́ nárugẹ,
ṣọ̀họn òbí mọ́mọ họ́n yú ulí-ìwé èdè òyìnbó náti kékeé?,ọ̀pọ̀lọpọ̀ ọ̀họn òbí à ti kéeké nà ṣìí mọ́mọ họ́n yú ilé-ìwé èdè òyìnbó ní,
ṣàti ilí nọni ṣií káṣà àti kàwé ní?,àti ilí nọni ṣií káṣà àti kàwé ní,
"ṣe kọ́họn olùkọ́ ṣí yá kọ́ni dáadáa, ọ̀n-ọ́n nẹ àti núfẹ̀ sẹ́kọ̀ọ́?","kọ́họn olùkọ́ ṣí yá kọ́ni dáadáa, ọ̀n-ọ́n nẹ àti núfẹ̀ sẹ́kọ̀ọ́",
ṣùkúù sí wèé yú?,òkédè grammer school ni mìí yú,
ọ́físì ọni sí ṣọlá í rè ọ̀laá?,ṣọlá í re ọ́físì ọlùkọ́ àgbà ọ̀la,
ibo sí kányin í yú  àná?,"kányin yú lábù àwọn ọmọ sáyẹ́nsì àná, ọ́n gbà kée wọlí",
kéè ùdín ọn má ṣi gbà kée wọlí sí lábù àwọn mọm sáyẹ́nsìí?,ọ́n gbà kée wọlí torí é ì sọmọ kílásì ìmọ̀ sáyẹ́nsì,
ṣi kọ́lá múwé èdè gẹ̀ẹ́sì ẹ̀ hún mi ìgbà à í relí àná?,kọ́lá múwé èdè gẹ̀ẹ́sì ẹ̀ hún mi ìgbà à í relí àná,
kú wè kọ́kọ́ ṣe ìgbà wó wọlí sí JS 1?,mí gbé lọ́kà mi náti ọ̀dọ kápíntà lórí yú ṣùkúù,
yunifásítì wo nó rè ọ àti yú kú wèé bé yá yú yunifásítì?,yunifásítì ti ìbàdàn nó rè mi àti yú kú mìí bé yá yú yunifásítì ní,
"ọjàa bo síye ẹ ṣi rá bẹ́rò, ìwé àti pẹ́ẹ́nsù hún ọ","iye rá bẹ́rò, ìwé àti pẹ́ẹ́nsù hún mi náti ọjà ìlẹ́mu",
kọ́ọ̀ fọ̀ í pé kí mi fọ̀ hún ìye mìí?,"fọ̀ hún ìye ẹ̀ kée ra aṣọ ṣùkúù ọ̀míẹ̀ hún ọ̀, má dè wọ ìyí yòó ká fàya",
ṣọ̀họn àgbàlígbà yáà tẹ̀síwájú ní ẹ̀kọ́ wọn kọ̀n-ọ̀n bá lo ètò ayélujára?,ọ̀họn àgbàlígbà yáà tẹ̀síwájú ní ẹ̀kọ́ wọn kọ̀n-ọ̀n bá lo ètò ayélujára,
"ṣẹ̀kọ́ yùn, ṣé ì gbọ́ni débi gíga, ṣe é í sọni dọni di nílá?","ẹ̀kọ́  yùn, é ì gbọ́ni débi gíga, e í sọni dọni ńlá",
kàrí bọ́ni ṣùkúù yẹn ṣi í tọ́jú ọ̀họn akẹ́kọ̀ọ́ yòó mọ̀wé buúkúbuúkú?, ṣùkúù wa í tọ́jú ọ̀họn akẹ́kọ̀ọ́ yòó mọ̀wé buúkúbuúkú nipa múmú ewó hún họn,
ṣi mínísítà hún ètò ẹ̀kọ́ fọ̀ í pé ọ̀n-ọ́n yá bẹ̀rẹ̀ ètò ẹ̀kọ́ ọ̀fẹ́ họ́nhọn ọmọ ilé-ẹ̀kọ́ alákọ́bẹ̀rẹ̀?,mínísítà hún ètò ẹ̀kọ́ fọ̀ í pé ọ̀n-ọ́n yá bẹ̀rẹ̀ ètò ẹ̀kọ́ ọ̀fẹ́ họ́nhọn ọmọ ilé-ẹ̀kọ́ alákọ́bẹ̀rẹ̀,
ṣi ṣùkúù mi nẹ́tò yọ̀ hún mójútó ọ̀nkà àti ìwé?,ṣùkúù mi nẹ́ ètò yọ̀ hún mójútó ọ̀nkà àti ìwé,
ṣí kọ́ọ kọ́ni ní ìmọ̀ kọ̀mpútà pé ni náyé òde-òní?,kọ́n-ọn kọ́ni ní ìmọ̀ kọ̀mpútà pé ni náyé òde-òní,
ṣé ó yẹ kí ìfẹ́ ọ̀họn àgbàlúgbà àti kàwé dẹ́n?,é yẹ kí ìfẹ́ ọ̀họn àgbàlúgbà àti kàwé dẹ́n,
ṣi kọ́n -ọn ka kọ́ni ní sílábọ́sì ilẹ̀ òkèrè san?,kọ́n -ọn ka kọ́ni ní sílábọ́sì ilẹ̀ òkèrè é san,
kí ìwádìí hún hàn nípa ọ̀họn ọni yòó kẹ́kọ̀ọ́ dé ulí-ẹ̀kọ́ gígà náwùjọ?,ìwádìí hún hàn pé ọ̀họn ọni yòó kẹ́kọ̀ọ́ dé ilé-ẹ̀kọ́ gígà nó ṣe pàtàkì náwùjọ,
Ṣọ̀họn olùkọ́ ulí-ẹ̀kọ́ yẹn mọ̀ nípa tẹkinọ́lọ́gì nínẹ̀kọ́?,"eyò, ọ̀họn olùkọ́ ulí-ẹ̀kọ́ wa mọ̀ nípa tẹkinọ́lọ́gì nínẹ̀kọ́",
kàí fọ̀ pé à í yá ṣe nágbègbè wa?,àí fọ̀ bá ṣi yáà pèsè hún ọni ye má yáà kọ tàbí kà ní agbègbè wa,
kée ùdín yò hun í yú ṣúkùú?,mìí yú ṣùkúù kí ń yá rayè kẹ́kọ̀ọ́,
kée ùdín yọ̀ọ́ hun lé ọpẹ́ gbọ̀nè súlì?,ọ̀n-ọ́n lé ọpẹ́ gbọ̀nè súlì torí é ṣì san owó ṣùkúù ẹ̀,
kọ́pẹ̀ ṣe ọ̀ ṣi le é padà súlì?,ọ̀n-ọ́n le ọpẹ̀ padà súlì tórí pé é ṣerun ẹ̀,
Wò ó mọ̀ pé ọ̀họn akẹ́kọ̀ọ́ í kẹ́kọ̀ọ́ nórí ayélujára?,"eyò, mìí mọ̀ pé ọ̀họn akẹ́kọ̀ọ́ í kẹ́kọ̀ọ́ nórí ayélujára",
ṣó yẹ kọ́n-ọn akẹ́kọ̀ọ́ kọ́ nípa èdè àti àṣà họn?,ó yẹ kọ́n-ọn akẹ́kọ̀ọ́ kọ́ nípa èdè àti àṣà họn,
"ṣóríṣíríṣí kọ́sì ne ní yunifásítì ní, àti pe ṣọ́ni yà kọ́ ìyí yòó bá rèe?","oríṣíríṣí kọ́sì ne ní yunifásítì, wòó yà kọ́ ìyí yòó bá rè ọ",
ṣètò ìlànà ẹ̀kọ́ hún sáà ká nódèe?,"ètò ìlànà ẹ̀kọ́ hún sáà ká nóde, mìí ríi ìjẹ́ta",
kàrí ibi yòó ṣi rí ètò ìlànà ẹ̀kọ́ ná-àn?,mìí rí ètò-ìlànà ẹ̀kọ́ rẹ̀n nórí pọ́tà mi,
kí mẹ́dùn fẹ́ yàá ṣe é?,"mẹ́dùn fẹ́ yàá san ewó ṣùkúù ẹ̀, kée yáà rayè rẹ́gístà kọ́sì hún sáà yìí",
kọ́ọ̀ fọ̀ hun ìgbà yòó yú kàféé?,"àmọ́ ìgbà yòó dé kàféè, ọ̀ọ́ fọ̀ hun pé pọ́tà ká kílósì",
kóni kàféè náà fọ̀ọ́?,oni kàféè náà fọ̀ í pé é yà sanwó àyàfí ó bá sanwó èlé hún pípẹ́ sanwó,
kí wèé yá dà nọ́jọ́ ọ̀la?,mìí da dókítà nọ́jọ̀ ọ̀la,
kèé kílásì yòó rè ọ́ jù ní ṣùkúù yẹn?,kílásì ìtàn nó rè mi jú ní ṣùkúù ní,
ṣì wó darapọ̀ mọ́ kúlọ́bù kànkàn ní ṣùkúù?,"rárá, míì darapọ̀ kúlọ́bù kànkàn ní ṣùkúù",
kéè olùdarí kílásì wa yá yá ní kílásì kejì?,olùdarí kílásì wa ká yàá yá dọ́sítà ní kílásì kejì,
è ṣée gbúhùnjẹ wá sí ṣùkúù onìi?,"tọ́ba gbúhùnjẹ wá sí ṣùkúù oní, mìí ewó únjẹ nẹ́",
è sé fọ̀ ní pé nhùn ṣì kà nkànkàn?,"àí gbáradì hún ìdànwó yèé wa, kẹ́hìndé fọ̀ í pé nhún ṣì kà kànkàn",
ibo sọ́n-ọ̀n lèsì ìdánwò àṣekágbá rẹ̀n sí?,"èsì ìdánwò àṣekágbá ká nóde, ara nótísì bọdù nàá lẹẹ̀ sí ní",
"olùkọ́ ìṣirò fọ̀ í pé káa ṣuṣẹ́ kàn, míì rántí iṣẹ́ náà, ṣù wó rántí ì?",eyò mìí rántí uṣẹ́ olùkọ́ ìṣirò fọ̀ í pé kaṣe,
"mìí relí mi kì ń bá i ṣe tán, ṣù wá wélé mi?","eyò, màá wélé ọ relí",
ká fẹ́ yá ṣe nókò ọ̀la?,"àí rọkọ ọ̀la, àí yàá kẹ́yìn",
ṣé ìyẹ́n gan-an nì mìí fẹ́ ní?,"ìyẹ́n-ẹ̀n gangan ní mìí fẹ́ ní, míì fọ́míẹ̀",
kée fa kete yí?,ewó ye má sìí nó mò fa kete yí ní,
kée ọmọ yọ̀ọ́ gbépọ̀n má mọ̀ ọ́?,"ọmọ yọ̀ọ́ gbépọ̀n, é mè mọ̀ pọ́nà sín",
ṣò ó yà rẹ́rùn débi wè ṣí á résan?,"wé yà rẹ́rùn débi wè ṣíi résan, mí nẹ̀ sísì ",
kí mìí ṣe àtòórò nìi?,"mìí ké rẹ̀n àtòórọ̀ nìí, ó mò dè sín ò",
Wè í rebo ọ̀ọ́rọ̀ ọ̀la à? ,mì yá rán-anṣẹ́,
kí mì yá hun ìkẹ̀tẹ́ rẹ̀n ṣe é?,"kàrí bo wòó gbé ìkẹ̀tẹ́ rẹ̀n sí, mìí á lòo, kí n hun dáná",
ulí ọni sí mì sáré yú?,"mìí sáré délíi bàbá ìjọ, mìí yú bẹ̀ àná, ó fọ̀ pé kí n wá òni í",
"kú weé yá ṣe nílí ọhọn ọlá, ṣí mi fọ̀ pè kóo má dè yú bẹ̀?",míì yulí ọ̀họn ọlá,
ibo sádògán rẹ̀n wa?,gbé àdògán yèé ní kíṣìnì rẹ̀n wá hún mi,
káà fẹ́ yàá wò ó?,"wélé mi, àí yàá wo ọ̀pẹ ye ní ibẹ̀rèn",
ọni sé yẹ kí mi mọ́wọ́ ẹ̀ nẹ́ à bé yá fònà-án?,"mójútó àbúrò ẹ ,mọ́wọ́ ẹ̀ nẹ́ wè bé yá fònà",
"kéè orúkọ̀ ẹ́?, ọmọ ọni sú wé rèé?",bisi nì mìí jẹ́ ní,
"ihá ye ní èhìnkúlí rẹ̀n, wòó sa nórùn oni i?",mìí sá ihá yení èyìnkúlí nórùn,
kọ́ fọ̀ pé kí mí yà á ṣí nọ́jàá?,gbọ̀nrè sọ́jà wá hún mi kóo ṣí àmọ́ igba náírà wá ,
"kéè ṣi ọ̀ wèé ké, è sé e lù ọ?",ibamí nó lù mi ní,
"wòó dè gbójú mọ́ lẹ̀kùn, wéè réjú kọ́ọ̀?","mìí réjú, míì wo bi mìí rè ní",
urúu ewé sọ́nì kí mi jáwé nínọ́gbàá?,"re inú ọgbà, kóo jéwé òrúnmábà wá hún mi",
àdín mìí mú nẹ́ rẹ̀n si kọ́?,míì mọ̀,
wòó bá mi ri gílásìsì miì? ,míì mọ bo yẹ̀ẹ́ mu sí,
kọ́nìí kí mi yá wò nínú pálọ̀, ọ̀ ní kí mi yá wago wá ní pálọ̀,
kée kà bàkùú?,"ó mò dè ṣe ọ́, wòó dè kàwé bàkù!",
ṣinú ẹ̀ ṣú?,inú ẹ mò dè ṣú ò!,
kọ́nìí kí mi gbé nórí?,"gbé igi rẹ̀n nórí, kóo ṣí gbe, kọ́kọ́ ṣu òsùká ẹ",
káà yá jẹ onìi?,"yàá bẹ iíjẹ, iyán nàá jẹ onìi ní",
ṣọ̀ ọ́ mú iṣẹ́-àmúrelé hún ọ?,"rárá, ọ́ọ̀ mú iṣẹ́-àmúrelé hún mi",
ké à ṣọni bé máà mú kádìì ẹ̀ wá?,"ọni e bé máà mú kádìì ẹ̀ wá, ó ru póò nìyẹ́n-ẹ̀n ní",
sí tíṣà lù mi torí míì nẹ́wèé?,fọ̀ han iba ẹ́ pé tíṣà lù ọ́ torí wéè nẹ́wèé,
wòó ká gbómi mìí má hun fínrá mi kaná-án?,"eyò, mìí ká gbomí rẹ̀n kaná",
ṣó yẹ káa gbẹ́rùn rẹ̀n yẹ́rọ onìi?,ó yẹ káa gbẹ́rùn rẹ̀n yẹ́rọ onìi,
